event_url,rank,last_name,first_name,nationality,total_time,swim_time,bike_time,run_time,athlete_url
http://triathlonranking2.perfectpace.com/event/1754,32,Schrottner,Rene,AUT,01:25:25,00:15:38,00:45:23,00:21:51,http://triathlonranking2.perfectpace.com/athlete/210586
http://triathlonranking2.perfectpace.com/event/1754,33,Auer,Yannik,AUT,01:25:39,00:13:31,00:46:40,00:21:59,http://triathlonranking2.perfectpace.com/athlete/250840
http://triathlonranking2.perfectpace.com/event/1754,34,Klimes,Martin,AUT,01:25:51,00:17:18,00:40:04,00:25:29,http://triathlonranking2.perfectpace.com/athlete/17235
http://triathlonranking2.perfectpace.com/event/1754,35,Schlentc,Frederik,SVK,01:26:59,00:16:24,00:41:24,00:25:17,http://triathlonranking2.perfectpace.com/athlete/263189
http://triathlonranking2.perfectpace.com/event/1754,36,Schwingenschuh,Kurt,AUT,01:27:12,00:16:04,00:43:14,00:25:13,http://triathlonranking2.perfectpace.com/athlete/4881
http://triathlonranking2.perfectpace.com/event/1754,37,Vollmann,Julian,AUT,01:27:36,00:15:27,00:41:56,00:25:46,http://triathlonranking2.perfectpace.com/athlete/240934
http://triathlonranking2.perfectpace.com/event/1754,38,Mares,Simon,CZE,01:28:06,00:18:23,00:40:45,00:23:16,http://triathlonranking2.perfectpace.com/athlete/263190
http://triathlonranking2.perfectpace.com/event/1754,39,Schwarz,Markus,AUT,01:28:18,00:15:52,00:44:24,00:24:21,http://triathlonranking2.perfectpace.com/athlete/263191
http://triathlonranking2.perfectpace.com/event/1754,40,Huber,Maximilian,AUT,01:29:49,00:16:23,00:43:19,00:26:15,http://triathlonranking2.perfectpace.com/athlete/233636
http://triathlonranking2.perfectpace.com/event/1754,41,Gehmayer,Lukas,AUT,01:29:58,00:18:34,00:44:21,00:23:04,http://triathlonranking2.perfectpace.com/athlete/263192
http://triathlonranking2.perfectpace.com/event/1754,42,Erber,Christoph,AUT,01:30:34,00:16:34,00:45:00,00:25:26,http://triathlonranking2.perfectpace.com/athlete/248431
http://triathlonranking2.perfectpace.com/event/1754,43,Greimel,Martin,AUT,01:30:43,00:16:23,00:44:28,00:25:03,http://triathlonranking2.perfectpace.com/athlete/262716
http://triathlonranking2.perfectpace.com/event/1754,44,Göller,Christoph,GER,01:31:31,00:17:15,00:45:00,00:25:02,http://triathlonranking2.perfectpace.com/athlete/179879
http://triathlonranking2.perfectpace.com/event/1754,45,Knoll,Gabriel,GER,01:32:02,00:13:11,00:45:26,00:29:34,http://triathlonranking2.perfectpace.com/athlete/44167
http://triathlonranking2.perfectpace.com/event/1754,46,Wenger,Arnold,AUT,01:32:23,00:18:16,00:42:14,00:26:01,http://triathlonranking2.perfectpace.com/athlete/263193
http://triathlonranking2.perfectpace.com/event/1754,47,Kloiber,Andreas,AUT,01:32:26,00:16:43,00:42:58,00:27:59,http://triathlonranking2.perfectpace.com/athlete/93460
http://triathlonranking2.perfectpace.com/event/1754,48,Bruckner,Michael,AUT,01:32:29,00:17:16,00:46:57,00:23:54,http://triathlonranking2.perfectpace.com/athlete/108234
http://triathlonranking2.perfectpace.com/event/1754,49,Djurcik,Martin,AUT,01:32:50,00:16:20,00:45:39,00:26:46,http://triathlonranking2.perfectpace.com/athlete/251452
http://triathlonranking2.perfectpace.com/event/1754,50,Resch,Günther,AUT,01:32:59,00:15:03,00:45:29,00:27:54,http://triathlonranking2.perfectpace.com/athlete/25497
http://triathlonranking2.perfectpace.com/event/1754,51,Zuschnig,Martin,AUT,01:33:03,00:16:33,00:47:06,00:24:23,http://triathlonranking2.perfectpace.com/athlete/235416
